ability_code,action_types,effect,signal,train_n,train_hits,train_probability,heldout_n,heldout_hits,heldout_probability,abs_drift,enabled,model_type,conditional_intercept,conditional_mean,conditional_scale,conditional_coef,heldout_brier,baseline_brier,heldout_auc
entroots,MELEE_ATTACK,root,ent,192,191,0.9947916666666666,122,121,0.9918032786885246,0.0029883879781420486,1,constant,,,,,,,
ferociouswound,MELEE_ATTACK,ferocious_wound,fdc,255,180,0.7058823529411765,36,24,0.6666666666666666,0.03921568627450989,1,constant,,,,,,,
blinding_attack,MELEE_ATTACK|RANGED_ATTACK,blind,bld,362,59,0.16298342541436464,194,23,0.11855670103092783,0.04442672438343681,1,constant,,,,,,,
torpor,MELEE_ATTACK,torpor,tor,138,10,0.07246376811594203,60,5,0.08333333333333333,0.010869565217391297,1,constant,,,,,,,
stoning,MELEE_ATTACK,stone,sta,55,23,0.41818181818181815,36,21,0.5833333333333334,0.16515151515151522,1,logistic,-0.3732713343,8.59571692814|6.44038072335|5.18663852726|2.70998963505|9.92727272727|72.1818181818|5.78181818182|6.45454545455|0.618181818182,1.72108762393|1.51663947281|1.66041000317|1.24467507661|2.25513188854|22.4167882779|0.867408032136|1.38587920001|0.485832335123,0.138521847905|0.548290864358|0.0431337653825|-0.361547532428|-0.389595893427|-0.338473973534|0.539639702786|-0.522586456934|0.526304301052,0.2604993923442251,0.2703305785123967,0.6412698412698412
cripplingwound,MELEE_ATTACK|RANGED_ATTACK,cripple,wnd,391,110,0.2813299232736573,86,14,0.16279069767441862,0.11853922559923868,0,constant,,,,,,,
cursingattack,MELEE_ATTACK|RANGED_ATTACK,suffering,sff,498,362,0.7269076305220884,126,93,0.7380952380952381,0.011187607573149738,1,constant,,,,,,,
wardingarrows,RANGED_ATTACK,atb_delay,T_RECORD,720,89,0.12361111111111112,296,51,0.17229729729729729,0.04868618618618617,1,constant,,,,,,,
shieldbash,MELEE_ATTACK,stun_delay,o<actor>,262,88,0.33587786259541985,65,31,0.47692307692307695,0.1410452143276571,1,logistic,-0.802765934669,7.83536004965|6.70845962577|4.41960461575|2.86504543859|52.4236641221|61.7061068702|4.3358778626|5.91603053435|0.652671755725,1.6874967308|1.5371296216|1.79284700371|1.50871100454|36.0836587997|22.8772337773|0.70560122188|1.60884087969|0.476121134801,0.782426615176|-0.125542054619|-0.182230188248|-0.33696693223|-0.0728324096862|0.0299843377708|0.136215289084|0.118013677784|-0.170043977503,0.24077430206017894,0.2693612081060365,0.7001897533206831
