side,creature_id,samples,MOVE,MELEE_ATTACK,RANGED_ATTACK,WAIT,DEFEND,HERO_ACTION,CAST_OR_ABILITY,ABILITY,ATTACK
PVE,982,16,0.414634146,0.365853659,0.024390244,0.024390244,0.024390244,0.024390244,0.024390244,0.073170732,0.024390244
PVE,983,3,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.466666667,0.066666667,0.066666667,0.066666667
PVE,985,29,0.343283582,0.402985075,0.014925373,0.014925373,0.134328358,0.014925373,0.014925373,0.044776119,0.014925373
PVE,987,6,0.047619048,0.333333333,0.238095238,0.047619048,0.047619048,0.047619048,0.142857143,0.047619048,0.047619048
PVE,993,20,0.020408163,0.183673469,0.673469388,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163
PVE,1004,2,0.230769231,0.230769231,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077
PVE,1011,3,0.200000000,0.333333333,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667
PVE,1012,2,0.076923077,0.230769231,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.230769231,0.076923077
PVE,1013,4,0.058823529,0.294117647,0.294117647,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529
PVE,1015,6,0.047619048,0.333333333,0.047619048,0.047619048,0.047619048,0.047619048,0.333333333,0.047619048,0.047619048
PVE,1016,4,0.058823529,0.176470588,0.411764706,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529
PVE,1021,8,0.040000000,0.200000000,0.520000000,0.040000000,0.040000000,0.040000000,0.040000000,0.040000000,0.040000000
PVE,1036,44,0.340206186,0.587628866,0.010309278,0.010309278,0.010309278,0.010309278,0.010309278,0.010309278,0.010309278
PVE,1037,32,0.287671233,0.369863014,0.013698630,0.013698630,0.013698630,0.013698630,0.013698630,0.260273973,0.013698630
PVE,1038,4,0.058823529,0.411764706,0.058823529,0.058823529,0.176470588,0.058823529,0.058823529,0.058823529,0.058823529
PVE,1040,19,0.021276596,0.106382979,0.319148936,0.021276596,0.021276596,0.021276596,0.446808511,0.021276596,0.021276596
PVE,1041,19,0.659574468,0.148936170,0.021276596,0.021276596,0.021276596,0.021276596,0.021276596,0.063829787,0.021276596
PVE,1042,12,0.030303030,0.212121212,0.575757576,0.030303030,0.030303030,0.030303030,0.030303030,0.030303030,0.030303030
PVE,1043,26,0.016393443,0.147540984,0.475409836,0.016393443,0.016393443,0.016393443,0.016393443,0.278688525,0.016393443
PVE,1044,25,0.016949153,0.288135593,0.593220339,0.016949153,0.016949153,0.016949153,0.016949153,0.016949153,0.016949153
PVE,1045,13,0.028571429,0.200000000,0.600000000,0.028571429,0.028571429,0.028571429,0.028571429,0.028571429,0.028571429
PVE,1046,3,0.066666667,0.200000000,0.333333333,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667
PVE,1047,28,0.138461538,0.353846154,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.415384615,0.015384615
PVE,1050,28,0.600000000,0.292307692,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615
PVE,1053,43,0.494736842,0.431578947,0.010526316,0.010526316,0.010526316,0.010526316,0.010526316,0.010526316,0.010526316
PVE,1054,3,0.333333333,0.200000000,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667
PVE,1055,29,0.044776119,0.164179104,0.701492537,0.014925373,0.014925373,0.014925373,0.014925373,0.014925373,0.014925373
PVE,1056,13,0.142857143,0.200000000,0.485714286,0.028571429,0.028571429,0.028571429,0.028571429,0.028571429,0.028571429
PVE,1060,30,0.362318841,0.536231884,0.014492754,0.014492754,0.014492754,0.014492754,0.014492754,0.014492754,0.014492754
PVE,1062,74,0.006369427,0.681528662,0.261146497,0.006369427,0.006369427,0.006369427,0.006369427,0.019108280,0.006369427
PVE,1064,5,0.052631579,0.578947368,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579
PVE,1065,10,0.448275862,0.241379310,0.034482759,0.034482759,0.103448276,0.034482759,0.034482759,0.034482759,0.034482759
PVE,1066,23,0.454545455,0.309090909,0.018181818,0.127272727,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818
PVE,1067,25,0.322033898,0.457627119,0.016949153,0.084745763,0.016949153,0.016949153,0.016949153,0.050847458,0.016949153
PVE,1068,40,0.325842697,0.573033708,0.011235955,0.033707865,0.011235955,0.011235955,0.011235955,0.011235955,0.011235955
PVE,1081,2,0.230769231,0.230769231,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077
