kind,initiative,atb,speed,recency,log_count,is_hero,is_player,same_side_as_current,is_current_actor,current_waited,initiative_diff,atb_diff,control_delay
mean,0.43478436028328166,0.9417303249203341,0.2716945730515482,0.39457830481382283,0.38577868566095286,0.1355266199244934,0.5658826495948,0.5342616394315293,0.07747830411363811,0.0705545321463343,-0.03085118618187524,0.0008154337181040817,0.0008230077958100147
scale,0.10816794038189374,0.07226013443325642,0.1318739883315378,0.27590026476789703,0.23732689553426872,0.3422851957311411,0.4956404709901867,0.4988247588709782,0.26734886666160856,0.25607926534554387,0.13898942132962133,0.09840155263939424,0.028676304747597043
coef,0.26365388532600315,0.022036990140431773,0.07254924538461076,0.7885131326713444,-0.017047667443509367,0.04086678839319,0.21194186394672387,0.2500217688660108,-0.8129477475592892,-0.04714165107389669,0.2655100567442478,0.011251130815432112,-0.027811332469829298
intercept,-2.1154574197324867,,,,,,,,,,,,
