ability_code,action_type,zone,max_secondary,enabled,train_decisions,candidate_hit_probability,train_recall,heldout_decisions,heldout_precision,heldout_recall,heldout_exact_set_rate
fire_breath,MELEE_ATTACK,behind,4,1,267,0.6333333333333333,0.6627906976744186,69,0.6875,0.4782608695652174,0.7971014492753623
acid_breath,MELEE_ATTACK,behind,4,1,147,0.7466666666666667,0.7088607594936709,107,0.6730769230769231,0.6730769230769231,0.7289719626168224
icedbreath,MELEE_ATTACK,behind,4,0,297,0.7032967032967034,1.0,0,0.0,0.0,0.0
deathcloud,RANGED_ATTACK,target_adjacent,8,1,149,0.4067796610169492,0.967741935483871,45,0.3804347826086957,0.9722222222222222,0.3111111111111111
spray,MELEE_ATTACK,actor_adjacent,2,1,600,0.4196969696969697,0.9964028776978417,162,0.43434343434343436,1.0,0.48148148148148145
threehead,MELEE_ATTACK,actor_adjacent,2,0,31,0.2702702702702703,0.8333333333333334,13,0.15151515151515152,1.0,0.23076923076923078
six_heads,MELEE_ATTACK,actor_adjacent,5,1,53,0.3625,0.9354838709677419,39,0.30666666666666664,1.0,0.28205128205128205
