kind,log_hp_ratio,log_count_ratio,log_damage_ratio,attack_diff,defense_diff,speed_diff,initiative_diff,alive_stack_diff,shooter_diff,hero_mana_diff,actor_is_player,progress_log,our_hp_log,enemy_hp_log
mean,-1.0853824221287673,-0.8922285417252788,-0.7867485060571814,0.5458909419822965,0.3025890498928155,0.026092443421182804,0.118062441226168,0.07036233288122398,0.08466576244913904,0.1193260995930927,0.678976942453013,0.6143122565820491,0.5742710621041721,0.6466298902461013
scale,1.2213284574456793,1.573150173186444,1.2833757742333372,0.3238481990495967,0.24426928073321286,0.0636290634458263,0.08389169496877358,0.289216723586957,0.29476884905501094,0.8907188474134471,0.46686963284222205,0.20347610579880024,0.035437315096485664,0.08801025941859607
coef,0.7455091127897902,-0.5126157058352306,1.7610377552972536,1.0025921817582615,1.4672479588430383,0.2876482596924401,-0.002741066961516367,0.6463936564339563,0.890768631367922,0.6169998777582769,0.22464166660635182,-0.071596746606221,0.9715882438464015,-0.29849119577709826
intercept,5.616262736315085,,,,,,,,,,,,,
