scope,spell_id,spell_name,actor_creature_id,target_creature_id,samples,median_damage
SAT,2077100434,magicfist,16,320,2,36.500000
SAT,2077100434,magicfist,16,433,1,96.000000
SAT,2077100434,magicfist,16,513,3,339.000000
SAT,2077100434,magicfist,16,514,1,319.000000
SAT,2077100434,magicfist,48,123,2,203.000000
SAT,2077100434,magicfist,48,125,2,203.000000
SAT,2077100434,magicfist,48,1282,3,203.000000
SAT,2077100434,magicfist,58,930,1,329.000000
SAT,2077100434,magicfist,104,165,2,347.500000
SAT,2077100434,magicfist,104,167,2,246.500000
SAT,2077100434,magicfist,104,635,1,25.000000
SAT,2077100434,magicfist,104,641,1,53.000000
SAT,2077100434,magicfist,505,635,1,36.000000
SAT,2077100434,magicfist,578,17,1,32.000000
SAT,2077100434,magicfist,578,45,1,150.000000
SAT,2077100434,magicfist,578,53,1,22.000000
SAT,2077100434,magicfist,578,101,1,235.000000
SAT,2077100434,magicfist,578,309,1,198.000000
SAT,2077100434,magicfist,578,534,2,293.000000
SAT,2077100434,magicfist,578,626,1,20.000000
SAT,2077100434,magicfist,633,28,6,68.000000
SAT,2077100434,magicfist,633,68,1,0.000000
SAT,2077100434,magicfist,633,118,6,35.000000
SAT,2077100434,magicfist,633,146,3,52.000000
SAT,2077100434,magicfist,633,162,1,80.000000
SAT,2077100434,magicfist,633,165,3,85.000000
SAT,2077100434,magicfist,633,169,1,80.000000
SAT,2077100434,magicfist,633,234,2,85.000000
SAT,2077100434,magicfist,633,235,1,36.000000
SAT,2077100434,magicfist,633,239,1,75.000000
SAT,2077100434,magicfist,633,253,2,75.000000
SAT,2077100434,magicfist,633,255,1,42.000000
SAT,2077100434,magicfist,633,257,3,35.000000
SAT,2077100434,magicfist,633,261,1,42.000000
SAT,2077100434,magicfist,633,300,3,70.000000
SAT,2077100434,magicfist,633,341,1,75.000000
SAT,2077100434,magicfist,633,514,1,75.000000
SAT,2077100434,magicfist,633,578,1,75.000000
SAT,2077100434,magicfist,633,587,1,30.000000
SAT,2077100434,magicfist,634,28,1,35.000000
SAT,2077100434,magicfist,634,33,1,35.000000
SAT,2077100434,magicfist,634,146,5,75.000000
